title,artist,year,views,url
Lifestyle,Rich Gang,2014,3575694,https://genius.com/Rich-Gang-Lifestyle-lyrics
Thunderclouds,LSD,2018,1072100,https://genius.com/LSD-Thunderclouds-lyrics
Unfair,6LACK,2018,232493,https://genius.com/6LACK-Unfair-lyrics
​my exs best friend,Machine Gun Kelly & blackbear,2020,419238,https://genius.com/Machine-Gun-Kelly-blackbear-​my-exs-best-friend-lyrics
Futura Free,Frank Ocean,2016,906229,https://genius.com/Frank-Ocean-Futura-Free-lyrics
Night Job,Bas,2015,320869,https://genius.com/Bas-Night-Job-lyrics
HOT WIND BLOWS,"Tyler, The Creator",2021,281847,https://genius.com/Tyler-The-Creator-HOT-WIND-BLOWS-lyrics
Rollin,Calvin Harris,2017,520474,https://genius.com/Calvin-Harris-Rollin-lyrics
Objects In the Mirror,Mac Miller,2013,835597,https://genius.com/Mac-Miller-Objects-In-the-Mirror-lyrics
Out Getting Ribs,King Krule,2013,212301,https://genius.com/King-Krule-Out-Getting-Ribs-lyrics
Drew Barrymore,Bryce Vine,2017,410132,https://genius.com/Bryce-Vine-Drew-Barrymore-lyrics
Ride for My Niggas Sky is the Limit,Lil Wayne,2007,252871,https://genius.com/Lil-Wayne-Ride-for-My-Niggas-Sky-is-the-Limit-lyrics
​the ends,Travis Scott,2016,896326,https://genius.com/Travis-Scott-​the-ends-lyrics
Far Over The Misty Mountains Cold Full Version,J. R. R. Tolkien,2013,439407,https://genius.com/J-R-R-Tolkien-Far-Over-The-Misty-Mountains-Cold-Full-Version-lyrics
BTS - 작은 것들을 위한 시 Boy With Luv ft. Halsey English Translation,Genius English Translations,2019,1036456,https://genius.com/Genius-English-Translations-BTS-작은-것들을-위한-시-Boy-With-Luv-ft-Halsey-English-Translation-lyrics
BTS - IDOL English Translation,Genius English Translations,2018,630540,https://genius.com/Genius-English-Translations-BTS-IDOL-English-Translation-lyrics
Im Different,2 Chainz,2012,1887239,https://genius.com/2-Chainz-Im-Different-lyrics
Wait a Minute,WILLOW,2015,958664,https://genius.com/WILLOW-Wait-a-Minute-lyrics
Right Now,Right Now Lyrics - Uncle Murda,2015,508747,https://genius.com/Right-Now-Lyrics-Uncle-Murda-Right-Now-lyrics
If We Have Each Other,Alec Benjamin,2018,231632,https://genius.com/Alec-Benjamin-If-We-Have-Each-Other-lyrics
